keyword,Type,Values,Description,Mandatory
ies_restart_parameter_ensemble,text,,"The name of a CSV or JCO/JCB file (recognized by its extension) containing a parameter ensemble that corresponds to the ""ies_restart_observation_ensemble"". This option requires that the ""ies_restart_observation_ensemble"" control variable also be supplied. This ensemble is only used in the calculation of the regularization component of the objective function for a restarted PESTPP-IES analysis.",
ies_enforce_bounds,Boolean,,If set to true PESTPP-IES will not transgress bounds supplied in the PEST control file when generating or accepting parameter realizations and when adjusting these realizations.,
ies_initial_lambda,real,,"The initial Marquardt lambda. The default value is calculated based on the formula ""10^floor(log10(mu/2n))"". If supplied as a negative value then the absolute value of ""ies_initial_lambda"" is used as a multiplier of the default initial-phi-based value.",
ies_lambda_mults,comma-separated reals,,Factors by which to multiply the best lambda from the previous iteration to yield values for testing parameter upgrades during the current iteration.,
lambda_scale_fac,comma-separated reals,,Line search factors along parameter upgrade directions computed using different Marquardt lambdas.,
ies_subset_size,integer,,"Number of realizations used in testing and evaluation of different Marquardt lambdas. If supplied as a negative value then the absolute value of ""ies_subset_size"" is treated as a percentage of the current ensemble size; this allows the subset size to fluctuate with the size of the ensemble.",
ies_use_approx,Boolean,,Use complex or simple formula provided by Chen and Oliver (2013) for calculation of parameter upgrades. The more complex formula includes a function which constrains parameter realizations to respect prior means and probabilities.,
ies_reg_factor,real,,Regularization objective function as a fraction of measurement objective function when constraining parameter realizations to respect initial values.,
ies_bad_phi,real,,If the objective function calculated as an outcome of a model run is greater than this value the model run is deemed to have failed.,
ies_bad_phi_sigma,real,,"If the objective function calculated for a given realization is greater than the current mean objective function of the ensemble plus the objective function standard deviation of the ensemble times ""ies_bad_phi_sigma""",
ies_use_prior_scaling,Boolean,,Use a scaling factor based on the prior parameter distribution when evaluating parameter-to-model-output covariance used in calculation of the randomized Jacobian matrix.,
ies_use_empirical_prior,Boolean,,"Use an empirical diagonal parameter covariance matrix for certain calculations. This matrix is contained in a file whose name is provided with the ""ies_parameter_ensemble"" keyword.",
Ies_save_lambda_ensembles,Boolean,,Save a set of CSV or JCB files that record parameter realizations used when testing different Marquardt lambdas.,
ies_verbose_level,0  1 or 2,,The level of diagnostic output provided by PESTPP-IES. If set to 2 all intermediate matrices are saved to ASCII files. This can require a considerable amount of storage.,
ies_accept_phi_fac,real > 1.0,,The factor applied to the previous best mean objective function to determine if the current mean objective function is acceptable.,
ies_lambda_dec_fac,real < 1.0,,The factor by which to decrease the value of the Marquardt lambda during the next IES iteration if the current iteration of the ensemble smoother process was successful in lowering the mean objective function.,
ies_lambda_inc_fac,real > 1.0,,The factor by which to increase the current value of the Marquardt lambda for further lambda testing if the current lambda testing cycle was unsuccessful.,
ies_subset_how,"first, last, random, phi_based",,"How to select the subset of realizations for objective function evaluation during upgrade testing. Default is ""random.""",
ies_num_threads,integer > 1,,The number of threads to use during the localized upgrade solution process the automatic adaptive localization process. If the localizer contains many (>10K) rows then multithreading can substantially speed up the upgrade calculation process. ies_num_threads() should not be greater than the number of physical cores on the host machine.,
ies_localizer,text,,The name of a matrix to use for localization. The extension of the file is used to determine the type: .mat is an ASCII matrix file .jcb/.jco signifies use of (enhanced) Jacobian matrix format (a binary format) while .csv signifies a comma-delimited file. Note that adjustable parameters not listed in localization matrix columns are implicitly treated as fixed while non-zero weighted observations not listed in rows of this matrix are implicitly treated as zero-weighted.,
ies_group_draws,Boolean,,A flag to draw from the (multivariate) Gaussian prior by parameter/observation groups. This is usually a good idea since groups of parameters/observations are likely to have prior correlation.,
ies_save_binary,Boolean,,A flag to save parameter and observation ensembles in binary (i.e. JCB) format instead of CSV format.,
ies_csv_by_reals,Boolean,,A flag to save parameter and observation ensemble CSV files by realization instead of by variable name. If true each row of the CSV file is a realization. If false each column of the CSV file is a realization.,
ies_autoadaloc,Boolean,,Flag to activate automatic adaptive localization.,
ies_autoadaloc_sigma_dist,Real,,Real number representing the factor by which a correlation coefficient must exceed the standard deviation of background correlation coefficients to be considered significant. Default is 1.0.,
tie_by_group,Boolean,,Flag to tie all adjustable parameters together within each parameter group. Initial parameter ratios are maintained as parameters are adjusted. Parameters that are designated as already tied or that have parameters tied to them are not affected.,
ies_enforce_chglim,Boolean,,Flag to enforce parameter change limits (via FACPARMAX and RELPARMAX) in a way similar to PEST and PESTPP-GLM (by scaling the entire realization). Default is false.,
ies_center_on,String,,"A realization name that should be used for the ensemble center in calculating the approximate Jacobian matrix. The realization name must be in both the parameter and observation ensembles. If not passed the mean vector is used as the center. The value ""_MEDIAN_"" can also be used which instructs PESTPP-IES to use the median vector for calculating anomalies.",
enforce_tied_bounds,Boolean,,Flag to enforce parameter bounds on any tied parameters. Depending on the ratio between the tied and free parameters this option can greatly limit parameter changes.,
ies_no_noise,Boolean,,Flag to not generate and use realizations of measurement noise. Default is False (that is to use measurement noise).,
ies_drop_conflicts,Boolean,,Flag to remove non-zero weighted observations that are in a prior-data conflict state from the upgrade calculations. Default is False.,
ies_pdc_sigma_distance,Real > 0.0,,The number of standard deviations from the mean used in checking for prior-data conflict.,
ies_save_rescov,Boolean,,Flag to save the iteration-level residual covariance matrix. If ies_save_binary is True then a binary format file is written; otherwise an ASCII format (.cov) file is written. The file name is case.N.res.cov/.jcb. Note that this functionality does not scale beyond about 20000 non-zero-weighted observations.,
obscov(),text,,The name of a file containing the observation noise covariance matrix. This can be a parameter uncertainty file (extension .unc) a covariance matrix file (extension .cov) or a binary JCO or JCB file (extension .jco or .jcb). Please see the section on this matrix above to understand the implications of using this matrix.,
rand_seed,unsigned integer,,Seed for the random number generator.,
ies_use_mda,Boolean,,Flag to use the (optionally iterative) Kalman update equation. The number of data assimilation iterations is controlled by NOPTMAX; NOPTMAX = 1 and ies_use_mda(true) results in the standard ensemble smoother Kalman update. If False the GLM iterative ensemble smoother equation is used. Default is False.,
ies_mda_init_fac,double,,The initial MDA covariance inflation factor. Only used if ies_use_mda is true. Default is 10.0.,
ies_mda_decl_fac,double,,The final MDA covariance inflation factor. Only used if ies_use_mda is true. Default is 0.5.,
ies_upgrades_in_memory,Boolean,,Flag to hold parameter upgrade ensembles in memory during testing. If False parameter ensembles are saved to disk during testing and the best-phi ensemble is loaded from disk after testing. This can reduce memory pressure for very high dimensional problems. Default is True but is only activated if the number of parameters > 100K.,
ies_ordered_binary,Boolean,,Flag to write control-file-ordered binary ensemble files. Only used if save_binary is true. If False hash-ordered binary files are written. For very high dimensional problems writing unordered binary can save lots of time. If not passed and number of parameters > 100K then ies_ordered_binary is set to False.,
ensemble_output_precision,int,,Number of significant digits to use in ASCII format ensemble files. Default is 6.,
ies_multimodal_alpha,double,,The fraction of the total ensemble size to use as the local neighborhood realizations in the multimodal solution process. Must be greater than zero and less than 1. Values of 0.1 to 0.25 seem to work well. Default is 1.0 (disable multimodal solution process).,
ies_weight_ensemble,text,,The name of a CSV or JCO/JCB file (recognized by its extension) containing user-supplied weight vectors for each realization. If this keyword is omitted PESTPP-IES uses the weight vector in the control file for all realizations. Only used with ies_multimodal_alpha.,
ies_phi_factor_file,text,,A two-column ASCII file that contains observation group tags and phi factors. Used to internally adjust weights to implement a balanced objective function using the mean residuals from the initial ensemble.,
ies_phi_factors_by_real,Boolean,,A flag to use internal weight balancing for each realization. This option should be used in conjunction with the multimodal solution process.,
ies_n_iter_reinflation,int,,The number of between-covariance reinflation iterations. Default is 0 which indicates not to reinflate parameter covariance.,
ies_update_by_reals,Boolean,,Flag to indicate whether or not to update each realization according to its phi reduction. Default is False.,
max_n_super,integer,,The maximum number of super parameters to use when conducting SVD-assisted inversion. The default is the number of adjustable parameters in which case the number of super parameters is effectively set by super_eigthresh().,
super_eigthresh,real,,The ratio to the maximum singular value of JtQJ at which truncation takes place to form super parameters. Note however that if the number of super parameters calculated in this way exceeds max_n_super() then the value of the latter variable takes precedence.,
n_iter_base,integer,,Where super parameters are estimated in some iterations and base parameters are estimated in other iterations this variable sets the number of sequential base parameter iterations to undertake before commencing an iteration in which super parameters are adjusted. If n_iter_base() is set to -1 this instructs PESTPP-GLM to emulate PEST behavior: a base parameter Jacobian matrix is calculated then super parameters are estimated as soon as they are defined on the basis of this matrix. Super parameters are estimated in all succeeding iterations.,
n_iter_super,integer,,Where super parameters are estimated in some iterations and base parameters are estimated in other iterations this variable sets the number of sequential super parameter iterations to undertake before commencing an iteration in which a base parameter Jacobian matrix is recalculated and base parameters are adjusted.,
jac_scale,Boolean,,Scale parameters by their sensitivities when calculating parameter upgrades. This can increase numerical precision; however it may incur a numerical cost.,
svd_pack,text,,"This informs PESTPP-GLM of the package that it must employ to undertake singular value decomposition of the JtQJ matrix (appropriately modified to include the Marquardt lambda and regularization). Options are ""eigen"" and ""redsvd.""",
lambdas,set of real numbers,,Values for the Marquardt lambda used in the calculation of parameter upgrades. Note that this base list is augmented with values bracketing the previous iteration's best lambda. However if a single value is specified only that lambda (and no other lambda) is used in all iterations.,
lambda_scale_fac,set of real numbers,,These values are used to scale each parameter upgrade vector calculated using different values of lambda. This results in a line search along each upgrade vector direction. The number of tested parameter upgrades (and hence model runs) is equal to the number of lambdas times the number of scaling factors. Set lambda_scale_fac() to 1.0 to disable an upgrade direction line search.,
base_jacobian,text,,Provide the name of a JCO file. The Jacobian matrix contained in this file will be used for the first iteration of the inversion process.,
hotstart_resfile,text,,Specify the name of a residuals file from a previous PESTPP-GLM run. PESTPP-GLM will assume that these are model outputs corresponding to initial parameter values. It will use these instead of undertaking the initial model run.,
parcov,text,,Provide the name of a JCO JCB NC or COV file from which the prior parameter covariance matrix used in FOSM analysis is read.,
par_sigma_range,real,,The difference between a parameter's upper and lower bounds expressed as standard deviations.,
glm_num_reals,integer,,Number of parameter realizations to draw from the posterior parameter distribution (using final estimated parameter values as the parameter mean vector and the FOSM-based posterior covariance matrix). Following generation of the realizations the model is run once for each realization. The resulting observation ensemble is saved in a CSV file named case.obs.csv; the parameter ensemble is saved in a CSV file named case.par.csv.,
save_binary,Boolean,,A flag to save parameter and observation ensembles in binary format. If this is set to true parameter and observation ensembles are saved in files named case.par.jcb and case.obs.jcb.,
tie_by_group,Boolean,,Flag to tie all adjustable parameters by group designation; however all user-supplied parameter tied-parent relationships are preserved. The effective number of adjustable parameters thus becomes the number of parameter groups (which contain at least one adjustable parameter) plus the number of parameters that are listed as having others tied to it.,
iteration_summary,Boolean,,This flag activates or deactivates the writing of CSV files summarizing parameters (case.ipar) objective functions (case.iobj) sensitivities (case.isen) trial parameter upgrades (case.upg.csv) and parameter-to-run-id mapping (case.rid).,
der_forgive,Boolean,,If set to true then if model run failure occurs when calculating finite-difference derivatives with respect to a certain parameter that parameter is frozen at its current value for the remainder of the iteration. If set to false PESTPP-GLM terminates execution with an appropriate message if this occurs.,
enforce_tied_bounds,Boolean,,Flag to enforce parameter bounds on any tied parameters.,
glm_accept_mc_phi,Boolean,,Flag to accept FOSM-based realization phi each base iteration if the phi is lower than the lambda-testing phi. Default is false.,
rand_seed,unsigned integer,,Seed for the random number generator. Used for FOSM-based Monte Carlo.,
glm_rebase_super,Boolean,,"A flag to run the super-parameter truncated values once at the start of the first super parameter iteration to provide a more accurate ""base"" run for calculating sensitivity numerators. Only applies if n_iter_base = -1 and base_jacobian is supplied. Default is False which indicates use either the hotstart_resfile residuals or the base run previously completed.",
glm_iter_mc,Boolean,,Flag to undertake FOSM-based posterior Monte Carlo during each iteration of PESTPP-GLM. Default is False which will result in Monte Carlo only after iterations are done (depending on the glm_num_reals and uncertainty flags).,
ensemble_output_precision,int,,Number of significant digits to use in ASCII format ensemble files. Default is 6.,
glm_norm_form,String,,"The form of the normal matrix to use. Can be ""ident"" (identity matrix lambda scaling) ""diag"" (use the diagonal of XtQX for lambda scaling) or ""prior"" (scale with the inverse of the prior parameter covariance matrix). Default is ""diag.""",
MAX_RUN_FAIL,Integer,greater than 0; default is 3,Maximum times the run manager will try to rerun a failed run,
LAMBDAS,Comma-separated list of reals,greater than 0; default is (0.01 1 10 100 1000),Specify the standard values of lambda to be used each iteration,
ITERATION_SUMMARY,Boolean,“TRUE” or “FALSE”; default is “TRUE”,Setting this to “TRUE” will save a summary of each iteration to a series of comma-separated files for easy plotting,
DER_FORGIVE,Boolean,“TRUE” or “FALSE”; default is “TRUE”,Setting this to “FALSE” will turn off derivative forgive and cause PEST++ to terminate if a run fails while computing the Jacobian,
PARAMETER_COVARIANCE,Text,Filename; default is none,The name of a PEST-compatible ASCII matrix or uncertainty file to use as the prior parameter covariance matrix,
OVERDUE_RESCHED_FAC,Real,greater than 1.0; default is 1.15,YAMR specific command. If model run takes longer than (OVERDUE_RESCHED_FAC * the average runtime) it will be rescheduled on another node if one is available,
OVERDUE_GIVEUP_FAC,Real,greater than 1.0; default is 100.0,YAMR specific command. If a model run has been running longer than (OVERDUE_GIVEUP_FAC * the average runtime) it will be canceled,
N_ITER_BASE,Integer,1 or greater,Number of base parameter iterations performed for each superparameter iteration,
N_ITER_SUPER,Integer,0 or greater,Number of superparameter iterations performed for each base parameter iteration,
SUPER_EIGTHRES,Real,any positive number (typically should be greater than 1.0E−7),PEST++ will not include any superparameters whose ratio with the largest superparameter is less than this ratio,
MAX_N_SUPER,Integer,integer between 1 and the minimum either of maximum number of parameters or the maximum number of observations,Maximum number of superparameters to use in the superparameter iterations,
MAX_REG_ITER,Integer,integer greater than 1; default is 20,Provides a limit on the maximum number of iterations used to compute dynamic regularization weights when PEST++ is run in regularization mode,
MAX_SUPER_FRZ_ITER,Integer,1 or greater; default value is 5,Maximum number of times a superparameter iteration will try to freeze any parameters that go out of bounds and try to recompute a Jacobian,
AUTO_NORM,Integer,1 or greater; default is no scaling,Automatically normalizes the sensitivities by assuming there are X standard deviations between the upper and lower parameter bounds,
SVD_PACK,String,“JACOBI” or “PROPACK”; default is “JACOBI”,Flag to use PROPACK to compute SVD factorizations. “JACOBI” is the SVD provided by the EIGEN library; “PROPACK” is the iterative SVD factorization suitable for large problems,
MAT_INV,String,“Q1/2J” or “JTQJ”; default is “JTQJ”,Flag to specify the formulation of the normal equation. This option is forced to “Q1/2J” when PROPACK is used,
SUPER_RELPARMAX,Real,greater than 0; default is 0.1,Parameter relative change limit for superparameters,
* control data,,,,
* singular value decomposition,,,,
* parameter groups,,,,
* parameter data,,,,
* observation groups,,,,
* observation data,,,,
* model command line,,,,
* model input/output,,,,
* prior information,,,,
* regularisation,,,,
* regularization,,,,
